implementation,language,size,time_sec,max_rss_kb,nodes_created,nodes_alive,ndd_nodes_created,ndd_nodes_alive,bdd_nodes_created,bdd_nodes_alive,solutions
BuDDy,C,8,0.17772820603568107,32896,53611,2451,0,0,53611,2451,92.0
Sylvan,C,8,0.1293801839929074,19360,54531,2451,0,0,54531,2451,92.0
CUDD,C,8,0.03075521404389292,1784,52385,2451,0,0,52385,2451,92.0
JDD,Java,8,0.15510802099015564,47172,53083,2451,0,0,53083,2451,92.0
JSylvan,Java,8,0.21396946301683784,69064,54140,2451,0,0,54140,2451,92.0
NDD,Java,8,0.091676,129764,18779,1593,9877,415,8902,1178,92.0
NDD-reuse,Java,8,0.091793,125192,10952,564,9877,415,1075,149,92.0
NDD-Array,Java,8,0.052788,44032,10797,600,9877,415,920,185,92.0
DD-BDD,C#,8,0.16178717196453363,30028,52181,2458,0,0,52181,2458,92.0
DD-CBDD,C#,8,0.15288438997231424,29800,46171,772,0,0,46171,772,92.0
BuDDy,C,9,0.10355360899120569,6808,218386,9557,0,0,218386,9557,352.0
Sylvan,C,9,0.1408654130063951,36444,219658,9557,0,0,219658,9557,352.0
CUDD,C,9,0.1033721580170095,612,216602,9557,0,0,216602,9557,352.0
JDD,Java,9,0.23903324990533292,60480,217230,9557,0,0,217230,9557,352.0
JSylvan,Java,9,0.24035232595633715,65564,219050,9557,0,0,219050,9557,352.0
NDD,Java,9,0.238483,254136,50676,2827,27781,1133,22895,1694,352.0
NDD-reuse,Java,9,0.237313,205412,29677,1323,27781,1133,1896,190,352.0
NDD-Array,Java,9,0.092256,78768,29451,1364,27781,1133,1670,231,352.0
DD-BDD,C#,9,0.30408598110079765,34384,215883,9565,0,0,215883,9565,352.0
DD-CBDD,C#,9,0.28405070095323026,33888,185654,2795,0,0,185654,2795,352.0
BuDDy,C,10,0.37018715299200267,12040,958740,25945,0,0,958740,25945,724.0
Sylvan,C,10,0.2010426470078528,52788,959239,25945,0,0,959239,25945,724.0
CUDD,C,10,0.5107163790380582,37752,954767,25945,0,0,954767,25945,724.0
JDD,Java,10,0.5479998789960518,80832,956019,25945,0,0,956019,25945,724.0
JSylvan,Java,10,0.276309184031561,118408,958344,25945,0,0,958344,25945,724.0
NDD,Java,10,0.731537,316372,146679,4967,94507,2625,52172,2342,724.0
NDD-reuse,Java,10,0.65686,287488,97922,2861,94507,2625,3415,236,724.0
NDD-Array,Java,10,0.213688,124168,97595,2905,94507,2625,3088,280,724.0
DD-BDD,C#,10,0.7198909349972382,92396,677687,25954,0,0,677687,25954,724.0
DD-CBDD,C#,10,0.5329379240283743,61212,793143,6601,0,0,793143,6601,724.0
BuDDy,C,11,3.359248072025366,32756,4699647,94822,0,0,4699647,94822,2680.0
Sylvan,C,11,0.5088119639549404,131748,4694597,94822,0,0,4694597,94822,2680.0
CUDD,C,11,4.095164795056917,165116,4687448,94822,0,0,4687448,94822,2680.0
JDD,Java,11,2.7947354529751465,102112,4691203,94822,0,0,4691203,94822,2680.0
JSylvan,Java,11,0.5501571440836415,213628,4693369,94822,0,0,4693369,94822,2680.0
NDD,Java,11,2.749738,568980,549688,11381,392824,8244,156864,3137,2680.0
NDD-reuse,Java,11,2.55188,580220,399087,8531,392824,8244,6263,287,2680.0
NDD-Array,Java,11,0.761938,216364,398650,8579,392824,8244,5826,335,2680.0
DD-BDD,C#,11,3.253435811959207,303056,3568452,94832,0,0,3568452,94832,2680.0
DD-CBDD,C#,11,2.3215297430288047,200776,2170288,22455,0,0,2170288,22455,2680.0
BuDDy,C,12,53.76398283604067,131932,24741296,435170,0,0,24741296,435170,14200.0
Sylvan,C,12,2.3966253370745108,853364,24703895,435170,0,0,24703895,435170,14200.0
CUDD,C,12,34.43835256295279,290372,24740519,435170,0,0,24740519,435170,14200.0
JDD,Java,12,22.885259362054057,223540,24719128,435170,0,0,24719128,435170,14200.0
JSylvan,Java,12,2.5053905060049146,1193636,24702044,435170,0,0,24702044,435170,14200.0
NDD,Java,12,14.604704,2226480,2481709,37931,1848510,33837,633199,4094,14200.0
NDD-reuse,Java,12,14.471995,2188508,1860434,34180,1848510,33837,11924,343,14200.0
NDD-Array,Java,12,4.100625,537192,1859828,34230,1848510,33837,11318,393,14200.0
DD-BDD,C#,12,20.88787911995314,1410584,21096247,435181,0,0,21096247,435181,14200.0
DD-CBDD,C#,12,13.407093456946313,505408,3980309,98900,0,0,3980309,98900,14200.0
